school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
WHOI-MIT Joint Program	Marine Geology And Geophysics	PhD	Fall 2022	Wait listed	3.1	American			
Brown University	Economics	PhD	Fall 2022	Accepted		International			
Princeton University	Comparative Literature	PhD	Fall 2022	Rejected		International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.96	International	5.0	167.0	170.0
City University Of New York (CUNY)	Basic And Applied Social Psychology	PhD	Fall 2022	Accepted		American			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	9.15	International	4.0	155.0	170.0
UCLA	Higher Education And Organizational Change	Masters	Fall 2022	Accepted		American			
Rutgers Universityâ€“New Brunswick	History	PhD	Fall 2022	Rejected	4.0	International	6.0	160.0	150.0
George Mason University	Computer Science	Masters	Fall 2022	Accepted	3.39	International	3.5	150.0	157.0
University Of Michigan (Ann Arbor)	Information Science	PhD	Fall 2022	Interview		American			
Johns Hopkins University	Biostatistics	Masters	Fall 2022	Rejected	3.89	International	4.0	159.0	170.0
University Of Oxford	Biochemistry	PhD	Fall 2022	Interview		International			
University Of Florida	Mechanical And Aerospace Engineering	Masters	Fall 2022	Accepted	3.7	International	3.4	152.0	162.0
Iowa State University	Chemistry	PhD	Fall 2022	Rejected	3.29	International			
Michigan Technological University	Chemistry	PhD	Fall 2022	Accepted	3.29	International			
Columbia University	Chemistry	PhD	Fall 2022	Accepted	3.8	International			
University Of Oxford	Biochemistry	PhD	Fall 2022	Interview		International			
Northwestern University	Mechanical Engineering	PhD	Spring 2022	Wait listed		International			
University Of Western Ontario	Financial Modelling	Masters	Fall 2022	Accepted	3.58	International			
University Of Western Ontario	Financial Modelling	Masters	Fall 2022	Wait listed	3.58	International			
University Of Pennsylvania	Data Science	Masters	Fall 2022	Rejected	3.8	International	3.5	159.0	168.0
University Of Chicago	Romance Languages And Literatures	PhD	Fall 2022	Interview		International			
University Of Michigan (Ann Arbor)	Clinical Pharmacy Translational Science (CPTS)	PhD	Fall 2022	Interview	3.7	International			
University Of Michigan	Neuroscience	PhD	Fall 2022	Rejected	3.51	American			
Florida State University (FSU)	Chemistry	PhD	Fall 2022	Accepted	3.95	International		152.0	163.0
Northwestern University	Mechanical Engineering	PhD	Fall 2022	Interview	3.96	International			
University Of Miami	Program In Biomedical Science (PiBS)	PhD	Fall 2022	Interview	3.87	American	4.5	165.0	329.0
University Of Washington	Computer Science	PhD	Fall 2022	Interview	3.76	International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Accepted	3.1	International	3.0	151.0	159.0
University Of Michigan (Ann Arbor)	Computer Science	PhD	Fall 2022	Interview		International			169.0
University Of Michigan (Ann Arbor)	Computer Science	PhD	Fall 2022	Interview	3.95	International			
Rice University	Applied Physics	PhD	Fall 2022	Accepted	3.6	International	4.0	157.0	170.0
University Of Illinois, Chicago (UIC)	Community Health Sciences	PhD	Fall 2022	Rejected	3.64	American			
University Of Texas At Dallas	Epidemiology	Masters	Fall 2022	Interview	3.6	American			
University Of California, Los Angeles (UCLA)	Bioinformatics	PhD	Fall 2022	Interview	4.0	American			
Stanford University	Education (DAPS)	PhD	Fall 2022	Interview	3.87	International	4.5	164.0	167.0
Ohio State University	Second Language Acquisition	PhD	Fall 2022	Interview		American			
Boston University	Education	PhD	Fall 2022	Interview		American			
University Of California, Santa Cruz	Linguistics	PhD	Fall 2022	Interview		International			
Stanford University	Cancer Biology	PhD	Fall 2022	Interview	3.5	American			
George Mason University	Operations Research	Masters	Fall 2022	Accepted	3.7	American	5.0	162.0	167.0
Boston University	Education	PhD	Fall 2022	Interview	4.0	American			
University Of California, San Diego	Integrated Studies	PhD	Fall 2022	Interview		American			
University Of Virginia	Psychology	PhD	Fall 2022	Interview		International			
University Of Chicago	Computer Science	PhD	Fall 2022	Interview	4.0	International			
University Of California, Berkeley	Chemical Engineering	PhD	Fall 2022	Interview	3.71	American			
Duke University	Biomedical Engineering	PhD	Fall 2022	Interview	3.71	American			
University Of Texas At Austin	Chemical Engineering	PhD	Fall 2022	Accepted	3.71	American			
University Of Cambridge	Computer Science	Masters	Fall 2022	Rejected	3.9	International			
University Of Toronto	Aerospace Engineering	Masters	Fall 2022	Accepted	3.3	International			
At Still University	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
University Of Southern California	Applied Data Science	Masters	Fall 2022	Accepted	3.7	International	5.0		166.0
Kennesaw State University	Professional Writing	Masters	Fall 2022	Accepted		American			
University Of Toronto	Civil Engineering	Masters	Fall 2022	Accepted	3.5	International			
University Of Toronto	Civil Engineering	Masters	Spring 2022	Accepted	3.5	International			
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
Stanford University	Civil And Environmental Engineering SDC	Masters	Fall 2022	Accepted		International			
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
University Of Southern California	East Asian Area Studies	Masters	Fall 2022	Accepted	3.56	International	4.0	166.0	158.0
University Of Alberta	Educational Psychology	Masters	Fall 2022	Wait listed		International			
University Of Toronto	Mechanical Engineering	Masters	Fall 2022	Rejected	2.7	International			
Queens (Canada)	Computer Science	Masters	Fall 2022	Rejected	3.73	International			
UC RIVERSIDE	Physics And Astronomy	PhD	Fall 2022	Wait listed		International			
University Of Peradeniya	Materials Science	Masters	Fall 2022	Accepted	3.12	International			
University Of Arkansas	English	Other	Fall 2022	Wait listed		Other			
Manhattanville College	Creative Writing	MFA	Fall 2022	Accepted	3.48	International			
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
University Of Southern California	Applied Data Science	Masters	Fall 2022	Accepted	9.06	International	4.0	154.0	167.0
University Of Alabama	Physics	PhD	Fall 2022	Wait listed	3.35	International			
Columbia University	Computer Science	Masters	Fall 2022	Rejected	3.75	American	5.0	162.0	166.0
Columbia University	Computer Science	Masters	Fall 2022	Rejected		International			
Columbia University	Computer Science	Masters	Fall 2022	Rejected		International			
Johns Hopkins University	Political Science	PhD	Fall 2022	Accepted		International			
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
College Of William And Mary	American Studies	PhD	Fall 2022	Accepted	3.87	American			
University Of Illinois, Chicago (UIC)	Electrical And Computer Engineering	PhD	Fall 2022	Rejected		International			
University Of Waterloo	Statistics	Masters	Fall 2022	Accepted	3.96	International	4.5	161.0	163.0
University Of Edinburgh	Statistics With Data Science	Masters	Fall 2022	Accepted	3.6	American			
Purdue University - West Lafayette	Aviation Technology And Management	PhD	Fall 2022	Accepted		International			
Northeastern University	Electrical And Computer Engineering	PhD	Fall 2022	Rejected		International			
University Of Waterloo	Public Health	PhD	Fall 2022	Wait listed		International			
Columbia University	Electrical And Computer Engineering	Masters	Fall 2022	Wait listed	3.3	American			
Loyola University Chicago	Bioinformatics	Masters	Fall 2022	Accepted	3.16	American			
University Of Wisconsin-Madison	Plant Biology	Masters	Fall 2022	Rejected	3.16	American			
University Of Illinois	Ecology	Masters	Fall 2022	Accepted	3.16	American			
Columbia University	Master Of Public Administration	Masters	Fall 2021	Accepted	3.59	International	4.0	160.0	159.0
University Of Florida	Marketing	Masters	Fall 2022	Accepted	3.85	International			
San Francisco State University	Speech Language Pathology	Masters	Fall 2022	Rejected		American			
Midwestern University - Downers Grove	Clinical Psychology		Fall 2022	Accepted	4.0	American	4.0	159.0	156.0
University Of Arizona	Civil Engineering	PhD	Fall 2022	Accepted		International	3.0	142.0	159.0
McGill University	Economics	Masters	Fall 2022	Accepted	3.7	International		157.0	161.0
East Tennessee State University	Speech Language Pathology	Masters	Fall 2022	Wait listed		American			
University Of Pennsylvania	Robotics	Masters	Fall 2022	Accepted	3.94	International	5.5	154.0	170.0
University Of British Columbia	Civil Engineering	Other	Fall 2022	Accepted	3.85	Other			
Boston University	Creative Writing Fiction	MFA	Fall 2022	Rejected		American			
University Of Oxford	International Development	PhD	Fall 2022	Accepted		International			
Northwestern University	Electrical And Computer Engineering	PhD	Fall 2022	Rejected	3.85	American			
Hollins University	Creative Writing Fiction	MFA	Fall 2022	Accepted		American			
McGill University	Economics	Masters	Fall 2022	Accepted		International			
University Of Delaware	Chemistry And Biochemistry	PhD	Fall 2022	Wait listed		International			
University Of British Columbia	Master Of Architecture	Other	Fall 2022	Rejected		Other			
University Of Toronto	Master Of Architecture	Other	Fall 2022	Rejected		Other			
Columbia University	Playwriting	MFA	Fall 2022	Rejected		American			
University Of Cambridge	MPhil Machine Learning And Machine Intelligence	Other	Fall 2022	Interview	4.0	International			
University Of Toronto	East Asian Studies	Other	Spring 2022	Wait listed		Other			
Hollins University	Creative Writing	MFA	Fall 2022	Accepted		American			
University Of Pennsylvania	Robotics	Masters	Fall 2022	Accepted	3.91	International	5.5	164.0	168.0
Teachers College, Columbia University	School Psychology	Masters	Fall 2022	Accepted	3.63	American	5.0	157.0	156.0
Columbia University	Playwriting	MFA	Fall 2022	Rejected		American			
University Of Vermont	Clinical Mental Health Counseling	Masters	Fall 2022	Interview		American			
Howard University	Neuropsychology	PhD	Fall 2022	Accepted		American			
University Of Oxford	Economics	PhD	Fall 2022	Accepted		International			
Northwestern University	Computer Science	PhD	Fall 2022	Rejected	3.6	International			
Georgia Institute Of Technology	Digital Media	PhD	Fall 2022	Accepted	3.95	American			
University Of California, San Diego	Computer Science	Masters	Fall 2022	Wait listed	9.0	International	2.0	9.0	9.0
University Of Michigan (Ann Arbor)	Computer Science	Masters	Fall 2022	Rejected	3.54	American			
Imperial College London	HEP Theory	PhD	Fall 2022	Rejected	4.0	International			
University Of Washington	Linguistics	PhD	Fall 2022	Interview		International			
Parsons The New School For Design	Strategic Design And Management	Masters	Fall 2022	Wait listed		International			
Seton Hill University	Writing Popular Fiction	MFA	Fall 2022	Accepted	3.7	American			
ETH Zurich - Swiss Federal Institute Of Technology	Environmental Systems Science	PhD	Fall 2022	Rejected	3.9	American			
University Of Washington	Economics	PhD	Fall 2022	Accepted	4.0	American			
University Of Manchester	Ecology & Evolution	PhD	Fall 2022	Accepted	3.9	American			
Boston University	Biology	PhD	Fall 2022	Accepted	3.9	American			
Rice University	Ecology & Evolutionary Biology	PhD	Fall 2022	Accepted	3.9	American			
Virginia Tech	Computer Science	Masters	Fall 2022	Accepted	3.64	International			169.0
University Of California, San Diego	Playwriting	MFA	Fall 2022	Rejected		American			
Northeastern University	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	3.57	International	3.5	160.0	169.0
Iowa State University	Marketing	Masters	Fall 2022	Interview	2.7	International			169.0
Texas A&M University - College Station (TAMU)	Marketing	PhD	Fall 2022	Interview		International			
University Of Pennsylvania	Chemical Engineering	PhD	Fall 2022	Wait listed		International			
University Of Delaware	Chemical Engineering	PhD	Fall 2022	Accepted		International			170.0
Northeastern University	Bioengineering	PhD	Fall 2022	Accepted	3.75	International			
University Of EconJobRumors	Finance	PhD	Fall 2022	Accepted		American			
University Of Oxford	CDT Mathematics Of Random Systems	PhD	Fall 2021	Interview		International			
Columbia University	Public Health	Masters	Fall 2022	Accepted	3.9	American			
University Of California, Los Angeles (UCLA)	Community Health Sciences	PhD	Fall 2022	Interview		American			
Florida State University (FSU)	Clinical Mental Health Counseling	Masters	Fall 2022	Accepted	3.45	International			
University Of Georgia	Classics	Masters	Fall 2022	Accepted		American	4.0	154.0	141.0
Northwestern University	Fine Arts	MFA	Fall 2022	Interview		American			
University Of California, San Francisco	TETRAD	PhD	Fall 2022	Rejected		International			
Ohio	Political Science	PhD	Fall 2022	Rejected		International			
University Of California, Riverside	GGB	PhD	Fall 2022	Interview		International			
University Of California, Santa Barbara	MCDB	PhD	Fall 2022	Interview		International			
University Of California, Davis	BMCDB	PhD	Fall 2022	Rejected		International			
University Of Oxford	MSc In Genomic Medicine	Masters	Fall 2022	Rejected	3.5	International			
Michigan State University	Physics	PhD	Fall 2022	Accepted	4.0	International	5.5	167.0	168.0
University Of Maryland	Physics	PhD	Fall 2022	Accepted	3.85	International			
University Of North Carolina	Biostatistics	PhD	Fall 2022	Accepted	3.7	International	4.0	154.0	170.0
University Of Iowa	Management	PhD	Fall 2022	Interview		International			
Washington University in St. Louis (WashU/WUSTL)	Organizational Behavior	PhD	Fall 2022	Interview		International			
University Of Minnesota	Work & Organizations	PhD	Fall 2022	Interview		International			
University Of Pennsylvania	Physics	PhD	Fall 2022	Interview	3.93	American			
University Of Pennsylvania	Neuroscience (NGG)	PhD	Fall 2022	Accepted	3.79	American			
Arizona State University	Computer Science	Masters	Fall 2022	Accepted	3.7	International	4.0	153.0	161.0
Brown University	Biostatistics	PhD	Fall 2022	Interview		Other			
Cornell University	Psychology	PhD	Fall 2022	Interview		American			
University Of Florida	Social Psychology	PhD	Fall 2022	Rejected	4.0	American			
University Of Michigan (Ann Arbor)	Macromolecular Science And Engineering	PhD	Fall 2022	Accepted		American			
University Of Wisconsin-Madison	Quantitative Methods	PhD	Fall 2022	Rejected		International			
Statistics, Evaluation, University Of Virginia	Research	PhD	Fall 2022	Wait listed		International			
University Of Southern California	American Studies And Ethnicity	PhD	Fall 2022	Accepted		American			
University Of California, Los Angeles (UCLA)	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		American			
University Of Florida	Finance	PhD	Fall 2022	Interview		International			
Pepperdine University	Clinical Psychology		Fall 2022	Interview	3.9	American			150.0
University Of Rochester	Biomedical Engineering	PhD	Fall 2022	Accepted	3.82	International			170.0
Wayne State University	Developmental Psychology	PhD	Fall 2022	Interview	3.61	American			
Stanford Graduate School Of Business	Organizational Behavior	PhD	Fall 2022	Accepted		International			
University Of Oxford	AIMS CDT	PhD	Fall 2022	Interview		International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.59	International			164.0
Barcelona School Of Economics	Economics	PhD	Fall 2022	Accepted	3.8	International			170.0
University Of California, Berkeley	Astrophysics	PhD	Fall 2022	Rejected	3.98	American			
University Of Texas At Austin	ORIE	Masters	Fall 2022	Accepted	3.3	International	3.5	155.0	325.0
University Of Chicago	Statistics	PhD	Fall 2022	Rejected	3.8	International	5.0	169.0	168.0
Barcelona School Of Economics	Economics	PhD	Fall 2022	Accepted	4.0	International			169.0
Harvard University	Sociology	PhD	Fall 2022	Rejected		International			
Penn State University	Physics	PhD	Fall 2022	Accepted		International			
Georgetown University	Physics	PhD	Fall 2022	Wait listed		International			
University Of Texas At Austin	Economics	PhD	Fall 2022	Rejected	3.95	International			169.0
Stanford University	Institute Of Computational And Mathematical Engineering	PhD	Fall 2022	Accepted	4.0	International			
MIT	Operations Research	PhD	Fall 2022	Accepted	4.0	International			170.0
Cornell University	Astronomy	PhD	Fall 2022	Wait listed		International			
Princeton University	Computer Science	PhD	Fall 2022	Interview	4.0	International			
Princeton University	Electrical And Computer Engineering	PhD	Fall 2022	Interview	3.99	International	3.5	154.0	170.0
University Of California, Berkeley	Astrophysics	PhD	Fall 2022	Rejected	3.6	International			
University Of Rochester	Optics	PhD	Fall 2022	Accepted	3.68	International	4.0	153.0	168.0
University Of Oklahoma	Chemistry And Biochemistry	PhD	Fall 2022	Interview	3.34	International	3.0	145.0	154.0
INSEAD	Technology And Operations Management	PhD	Fall 2022	Accepted		International			
Literacy, & Culture, University Massachusetts Amherst	Language	PhD	Fall 2022	Accepted		International			
London School Of Economics & Political Science (LSE)	Law	PhD	Fall 2022	Accepted		International			
University Of Wisconsin-Madison	Speech Language Pathology	Masters	Fall 2022	Accepted	3.7	International			
Cornell University	Astronomy	PhD	Fall 2022	Wait listed		International			
University Of California, Berkeley	Folklore	Masters	Fall 2022	Accepted		International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Accepted		International	5.0	161.0	170.0
UPF, Barcelona GSE	Economics	PhD	Fall 2022	Wait listed	3.78	International			169.0
University Of Wisconsin- Milwaukee	Kinesiology	Masters	Fall 2022	Accepted		International			
University Of Alberta	Linguistics	PhD	Fall 2022	Interview		International			
Brown University	American Studies	PhD	Fall 2022	Rejected		International			
The University Of Sheffield	Landscape Architecture	Masters	Fall 2022	Accepted	3.28	International			
University Of Texas Health Science Center At Houston	Bioinformatics	PhD	Fall 2022	Accepted		International		160.0	170.0
Northwestern University	Chemical And Biological Engineering	PhD	Fall 2022	Rejected	3.89	International			
Syracuse University	Information Studies	PhD	Fall 2022	Rejected		International		160.0	170.0
University Of Illinois, Chicago (UIC)	Civil Engineering	PhD	Fall 2022	Accepted	4.0	International	4.5	165.0	170.0
University Of Wyoming	Economics	PhD	Fall 2022	Interview		International			
University Of Wisconsin-Madison	Mathematics	PhD	Fall 2022	Rejected	3.92	International	5.0	167.0	170.0
Oregon State University	Applied Economics	PhD	Fall 2022	Rejected		International			
Carnegie Mellon University	Robotics	PhD	Fall 2022	Rejected	3.81	International			
Villanova University	Clinical Mental Health Counseling	Masters	Fall 2022	Accepted		American			
Cornell University	Architecture	Other	Fall 2022	Wait listed		Other			
Arizona State University	Materials Science And Engineering	PhD	Fall 2022	Accepted	3.36	International			
North Carolina State University	Computer Science	Masters	Fall 2022	Accepted	3.9	International	4.5	152.0	170.0
University Of Illinois	Electrical And Computer Engineering	PhD	Fall 2022	Rejected		International			
New York University	Cinema Studies	Masters	Fall 2022	Accepted	3.95	American			
Georgia Southern University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.79	American	4.0	155.0	149.0
Appalachian State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.6	American	5.0	156.0	149.0
Johns Hopkins University	Engineering Management	Masters	Fall 2022	Accepted	3.9	International	4.5	152.0	170.0
University Of Nevada, Reno	Mechanical Engineering	Masters	Fall 2022	Accepted		International	5.0	161.0	160.0
UNC Greensboro	Peace And Conflict Studies	Masters	Fall 2022	Accepted	3.4	American	5.0	160.0	154.0
North Carolina State University	International Studies	Masters	Fall 2022	Accepted	3.4	American	5.0	160.0	154.0
Clinton School Of Public Service	Public Service	Masters	Fall 2022	Accepted	3.4	American	5.0	160.0	154.0
University Of Washington	Commlead	MFA	Fall 2022	Accepted		International			
University Of Massachusetts, Amherst	Computer Science	Masters	Fall 2022	Accepted	3.94	International			
Parsons School Of Design	Design And Technology	Masters	Fall 2022	Rejected	2.8	International			
Pratt Institute	Information Experience Design	Masters	Fall 2022	Rejected	2.8	International			
University Of Texas At El Paso	Psychology - Bilingual Language & Cognition	PhD	Fall 2022	Rejected	4.0	International			
Oxford University	Global And Area Studies	Masters	Fall 2022	Wait listed	3.7	International			
Worcester State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.7	American	4.5	147.0	145.0
Columbia University	Computer Engineering	Masters	Fall 2022	Accepted	3.91	American			169.0
University Of Southern California	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	3.91	American			169.0
Massachusetts Institute Of Technology	Smarch AD	Masters	Fall 2022	Rejected	3.78	International			
University Of California, Santa Barbara	Sociology	PhD	Fall 2022	Accepted		American			
Rutgers Universityâ€“New Brunswick	Sociology	PhD	Fall 2022	Accepted		American			
California College Of The Arts	Interaction Design	Masters	Fall 2022	Accepted	2.8	International			
Southern California Institute Of Architecture	Architecture	Masters	Fall 2022	Accepted		International			
Indiana University Bloomington	English	PhD	Fall 2022	Wait listed		American			
Massachusetts Institute Of Technology	Architecture	Masters	Fall 2022	Rejected		International			
University Of Florida	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.89	American	4.5	151.0	158.0
University Of Massachusetts, Amherst	Computer Science	Masters	Fall 2022	Accepted	3.8	International	3.5	154.0	167.0
SOAS	International Studies And Diplomacy	Masters	Fall 2022	Accepted	3.45	International			
A.T. Still University Of Health Sciences	Audiology	Other	Fall 2022	Interview		International			
Cornell University	Urban And Regional Planning	Masters	Fall 2022	Rejected		International			
University Of Chicago	MPP	Masters	Spring 2022	Wait listed	3.89	International			166.0
University Of Chicago	MACRM	Masters	Spring 2022	Rejected	3.89	International			166.0
University Of California, Los Angeles	Chemistry	PhD	Fall 2022	Rejected		American			
University Of Florida	Chemistry	PhD	Fall 2022	Rejected		American			
Hertie School Of Governance	MDS Public Policy	Masters	Spring 2022	Accepted	3.89	International			166.0
Bocconi University	Economics	Masters	Spring 2022	Accepted	3.89	International			166.0
University Of California, Santa Barbara	Chemistry	PhD	Fall 2022	Accepted	3.72	International	4.0	151.0	170.0
SUNY Stony Brook	Physics	PhD	Fall 2022	Accepted		International			
Stevens Institute Of Technology	Financial Engineering	Masters	Fall 2022	Accepted		International	4.0	155.0	168.0
University Of Chicago	Political Science	PhD	Fall 2022	Rejected	3.91	International	6.0	169.0	163.0
Stanford University	Biophysics	PhD	Fall 2022	Rejected		International			
Boston University	Marketing (CB)	PhD	Fall 2022	Interview		International			
University Of California, Berkeley	East Asian Languages And Cultures	PhD	Spring 2022	Rejected		International			
University Of Chicago	English	PhD	Fall 2022	Accepted		American			
University Of California, San Diego (Scripps)	Geosciences	PhD	Fall 2022	Accepted	3.98	International			
Wright State University	Clinical Psychology		Fall 2022	Accepted		International			
Ohio State University	Epidemiology	PhD	Fall 2022	Interview		American			
University Of California, Berkeley	Sociology	PhD	Fall 2022	Accepted		International	4.0		164.0
City University Of New York (CUNY)	Financial Engineering	Masters	Fall 2022	Rejected		International	4.0	155.0	168.0
Video And Related Media, School Of Visual Arts	MFA Photography	MFA	Fall 2022	Interview		International			
City University Of New York (CUNY)	Financial Engineering	Masters	Fall 2022	Rejected		International	4.0	155.0	168.0
University Of Central Florida	Anthropology	Masters	Fall 2022	Accepted		American			
University Of California, Berkeley	Computer Science	PhD	Fall 2022	Accepted		International			
University Of Washington	Electrical And Computer Engineering	PhD	Fall 2022	Accepted	3.88	International			
Georgetown University	Chemistry	PhD	Fall 2022	Accepted	3.9	International			
Ohio State University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
University Of Georgia	Computer Science	PhD	Fall 2022	Accepted		International			
Stanford University	East Asian Languages And Cultures	PhD	Fall 2022	Interview		International			
UNC-Chapel Hill	English	PhD	Fall 2022	Wait listed	3.86	American			
University Of Wisconsin-Madison	Sociology	PhD	Fall 2022	Accepted	3.78	American			
UNC Chapel Hill	English	PhD	Fall 2022	Wait listed		American			
University Of Connecticut	Political Science	PhD	Fall 2022	Accepted	3.51	American			
University Of Chicago	Computational Analysis And Public Policy	Masters	Fall 2022	Accepted		International	4.0	169.0	170.0
Stanford University	Neuroscience	PhD	Fall 2022	Rejected	3.81	American			
University Of California, Davis	Physics	PhD	Fall 2022	Wait listed		International			
UC Davis	Social Psychology	PhD	Fall 2022	Rejected	3.92	American			
University Of Calgary	Creative Writing Poetry	PhD	Fall 2022	Rejected	3.95	International			
University Of Chicago	Astronomy	PhD	Fall 2022	Rejected		International			
SUNY Stony Brook	Physics	PhD	Fall 2022	Wait listed		International			
University Of Washington	Computer Science	PhD	Fall 2022	Wait listed		International			
University Of California, Berkeley	Asian Studies	Masters	Fall 2022	Accepted	3.83	American			
University Of Texas At Austin	Sociology	PhD	Fall 2022	Rejected	3.95	International		159.0	163.0
University Of Chicago	Political Science	PhD	Fall 2022	Rejected		International			
Georgetown University	MS-DSPP	Masters	Fall 2022	Accepted		International			
University Of California, Berkeley	East Asian Studies	PhD	Fall 2022	Rejected		International			
University Of Michigan (Ann Arbor)	Environment And Sustainability (SEAS)	PhD	Fall 2022	Accepted	3.4	International			
Columbia University	Neuroscience	PhD	Fall 2022	Rejected		American			
Penn State University	Speech Language Pathology	Masters	Spring 2022	Accepted	3.5	American			
Boston University	Economics	PhD	Fall 2022	Accepted		International			
University Of Florida	Chemical Engineering	PhD	Fall 2022	Accepted	3.51	International			
Florida Atlantic University	Creative Writing	MFA	Fall 2022	Accepted		American			
University Of Illinois	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.7	American			
MIT Sloan School Of Management	Business Analytics	Masters	Fall 2022	Accepted	3.7	American	4.5	169.0	168.0
Oklahoma State University	Counseling Psychology	PhD	Fall 2022	Interview		American			
Baylor University	School Psychology	PhD	Fall 2022	Rejected		American			
Auburn University	Speech Language Pathology	Masters	Fall 2022	Accepted	4.0	American	5.0	152.0	152.0
University Of Oregon	Special Education	PhD	Fall 2021	Accepted		International			
University Of Texas At Dallas	Speech Language Pathology	Masters	Fall 2022	Interview		American			
George Washington University	Security Policy Studies	Masters	Fall 2022	Accepted	3.48	American			
George Washington University	M.A. Security Studies	Masters	Fall 2022	Accepted	3.81	American			
University Of South Florida	Audiology	Other	Fall 2022	Accepted	3.92	American	5.5	157.0	161.0
Florida Atlantic University	Creative Writing	MFA	Fall 2022	Accepted					
University Of Pennsylvania, GSE	Intercultural Communication	Masters	Fall 2022	Accepted	3.9	International			
University Of Tulsa	Speech Language Pathology	Masters	Fall 2022	Wait listed		American			
Florida State University (FSU)	Physics	PhD	Fall 2022	Rejected	3.8	International			
American University	Philosophy	Masters	Fall 2022	Accepted	3.87	American	4.0	163.0	159.0
Union Theological Seminary	MAR	Masters	Fall 2022	Accepted	3.65	American			
Duquesne University	Philosophy	PhD	Fall 2022	Rejected	3.87	American	4.0	163.0	159.0
Massachusetts Institute Of Technology	IDSS	PhD	Fall 2022	Rejected	4.0	International			
MIT IDSS	SES	PhD	Fall 2022	Accepted	3.96	International			170.0
Louisiana State University	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.6	American			
University Of Illinois	Speech Language Pathology	Masters	Fall 2022	Rejected	3.5	American	4.5	159.0	
University Of Alberta	Visual Communication Design	Masters	Fall 2022	Rejected		International			
Cornell University	Engineering Management	Masters	Fall 2022	Rejected		International			
University Of Kentucky	Geography	PhD	Fall 2022	Accepted	3.73	International			
Western Washington University	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.5	American	4.5	159.0	
Rice University	Chem	PhD	Fall 2022	Rejected	3.4	American			
University Of Southern California	Urban Planning	Masters	Fall 2022	Accepted	3.9	American			
Carnegie Mellon University	Marketing (Quant)	PhD	Fall 2022	Rejected		International	4.0	160.0	167.0
New York University	Economics	PhD	Fall 2022	Wait listed	4.0	International			170.0
University Of Michigan (Ann Arbor)	Applied And Interdisciplinary Mathematics	PhD	Fall 2022	Rejected		International			
University Of Rhode Island	Marine Affairs	PhD	Fall 2022	Accepted	3.7	American	4.0	165.0	161.0
MIT IDSS	SES	PhD	Fall 2022	Rejected		International			
Towson University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.8	American			
Massachusetts Institute Of Technology	Social And Engineering Systems	PhD	Fall 2022	Rejected		American			
Duquesne University	Philosophy	PhD	Fall 2022	Rejected		American			
Emory University	Public Health/Health Policy	Masters	Fall 2022	Accepted	3.71	American			
City College Of New York (CUNY)	Clinical Psychology	PhD	Fall 2022	Interview	3.87	American			
City College Of New York	Clinical Psychology	PhD	Fall 2022	Interview	3.87	American			
George Washington University	Public Health/ Health Policy	Masters	Fall 2022	Accepted	3.71	American			
City College Of New York	Clinical Psychology	PhD	Fall 2022	Interview		American			
McGill University	Music Theory	PhD	Fall 2022	Rejected		American			
Immaculata University	Clinical Psychology		Fall 2022	Interview	3.8	American			
Loyola University Maryland	Clinical Psychology		Fall 2022	Rejected		American			
SUNY Stony Brook	Linguistics	PhD	Fall 2022	Interview		International			
Chatham University	Counseling Psychology		Fall 2022	Rejected		American			
University Of Saskatchewan	Clinical Psychology	Other	Fall 2022	Interview	4.0	Other			
Purdue University	Sociology	PhD	Fall 2022	Interview		American			
City College Of New York	Clinical Psychology	PhD	Fall 2022	Interview		American			
City College Of New York	Clinical Psychology	PhD	Fall 2022	Interview		American			
Emory University	History	PhD	Fall 2022	Interview	3.9	International			
MIT	Chemical Engineering	PhD	Fall 2022	Accepted		International			
New York University (School Of Global Public Health)	Biostatistics	PhD	Fall 2022	Interview		International			
University Of Delaware	Chemical Engineering	PhD	Fall 2022	Accepted	3.78	American			
Temple University	Mathematics	PhD	Fall 2022	Accepted	3.89	International			
